Altium Designer Pick and Place Locations
E:\PROJECTS\Jeff Geerling projekty\CM4_carrier_GPU\CM4GPU_Altium\v2_2023-04\\out\Pick Place\Pick Place for Pi4GPU_v2.csv

========================================================================================================================
File Design Information:

Date:       13.04.23
Time:       10:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer","MPN","Package (Case)"
"TP107","DEBUG","BottomLayer","65.5909","82.5162","180","","",""
"TP108","DEBUG","BottomLayer","75.5750","68.2375","180","","",""
"TP109","DEBUG","BottomLayer","70.4000","78.4500","270","","",""
"TP110","DEBUG","BottomLayer","15.3000","92.2000","270","","",""
"TP111","DEBUG","BottomLayer","147.4500","16.2000","180","","",""
"TP112","ICT","BottomLayer","75.5750","72.1875","270","-","-",""
"TP113","ICT","BottomLayer","69.0500","76.5500","270","-","-",""
"TP114","DEBUG","TopLayer","65.1000","93.6000","90","","",""
"TP115","DEBUG","TopLayer","68.7500","93.6000","90","","",""
"TP200","DEBUG","BottomLayer","106.0000","61.2996","0","","",""
"TP201","DEBUG","BottomLayer","101.4496","64.6000","0","","",""
"TP202","DEBUG","TopLayer","152.9000","80.4500","90","","",""
"TP203","DEBUG","TopLayer","152.9000","83.7500","90","","",""
"TP204","ICT","BottomLayer","156.7000","82.1500","90","-","-",""
"TP250","DEBUG","TopLayer","28.3500","51.5000","90","","",""
"TP251","DEBUG","TopLayer","37.4500","51.1500","90","","",""
"TP252","DEBUG","TopLayer","38.3500","57.8500","90","","",""
"TP253","DEBUG","TopLayer","36.3000","49.1500","90","","",""
"TP254","ICT","BottomLayer","34.3500","38.8000","0","-","-",""
"TP300","DEBUG","TopLayer","88.3500","41.4000","0","","",""
"TP301","DEBUG","TopLayer","89.1000","41.7500","270","","",""
"TP350","DEBUG","TopLayer","11.8000","61.9000","0","","",""
"TP351","DEBUG","TopLayer","12.4500","62.9500","0","","",""
"TP352","DEBUG","TopLayer","12.1500","63.6500","0","","",""
"TP353","DEBUG","TopLayer","11.5500","64.5500","0","","",""
"TP354","ICT","BottomLayer","12.5000","65.9500","270","-","-",""
"TP400","DEBUG","TopLayer","25.6000","75.4000","0","","",""
"TP401","DEBUG","TopLayer","25.6000","74.0000","0","","",""
"TP450","DEBUG","BottomLayer","37.4500","83.1500","270","","",""
"TP451","ICT","BottomLayer","36.8500","81.1000","270","-","-",""
"TP452","DEBUG","BottomLayer","38.9023","83.8572","270","","",""
"TP453","DEBUG","TopLayer","41.6500","77.9000","270","","",""
"TP700","ICT","BottomLayer","157.0000","23.9000","270","-","-",""
"TP701","ICT","BottomLayer","153.3000","23.9000","270","-","-",""
"TP702","ICT","BottomLayer","24.3000","30.6000","90","-","-",""
"TP703","ICT","BottomLayer","20.1500","30.6000","90","-","-",""
"TP704","ICT","BottomLayer","16.1500","19.2500","0","-","-",""
"TP705","ICT","BottomLayer","14.1500","21.2000","270","-","-",""
"TP706","ICT","BottomLayer","149.2500","21.7500","0","-","-",""
"TP707","ICT","BottomLayer","147.3000","24.6500","0","-","-",""
"TP708","ICT","BottomLayer","38.3000","30.7500","0","-","-",""
"TP709","ICT","BottomLayer","40.9500","30.7500","0","-","-",""
"TP710","ICT","BottomLayer","46.9000","11.5500","0","-","-",""
"TP711","ICT","BottomLayer","49.8000","11.5500","0","-","-",""
"TP750","ICT","BottomLayer","66.7000","66.5500","270","-","-",""
"TP751","ICT","BottomLayer","66.7000","63.0000","180","-","-",""
"TP752","ICT","BottomLayer","50.7500","7.8500","90","-","-",""
"TP753","ICT","BottomLayer","157.1500","43.4500","90","-","-",""
"TP754","ICT","BottomLayer","53.1500","9.1500","90","-","-",""
"TP755","ICT","BottomLayer","152.7500","43.4500","90","-","-",""
"U200","FSUSB42","TopLayer","94.5000","50.2500","270","ON Semiconductor","FSUSB42MUX","MSOP-10"
"U201","RCLAMP0524PA","TopLayer","147.9500","82.8000","90","Semtech Corporation","RCLAMP0524PATCT","TBD"
"U250","AP2553W6-7","TopLayer","40.3500","56.0500","90","Diodes Incorporated","AP2553W6-7","SOT26"
"U251","USB2512B","TopLayer","32.4500","43.9000","0","Microchip Technology","USB2512B",""
"U252","RCLAMP0524PA","TopLayer","18.8000","36.7500","270","Semtech Corporation","RCLAMP0524PATCT","TBD"
"U350","RCLAMP0524PA","TopLayer","14.0250","59.8000","270","Semtech Corporation","RCLAMP0524PATCT","TBD"
"U351","RCLAMP0524PA","TopLayer","14.0250","56.8000","270","Semtech Corporation","RCLAMP0524PATCT","TBD"
"U352","AP2331","TopLayer","15.8500","66.1000","270","Diodes Incorporated","AP2331W-7","SC59"
"U400","RCLAMP0524PA","TopLayer","22.9500","83.9500","270","Semtech Corporation","RCLAMP0524PATCT","TBD"
"U401","RCLAMP0524PA","TopLayer","22.9500","78.8000","270","Semtech Corporation","RCLAMP0524PATCT","TBD"
"U450","AP2553W6-7","TopLayer","38.3500","78.3500","0","Diodes Incorporated","AP2553W6-7","SOT26"
"U500","EMC2301","TopLayer","124.8000","41.2500","0","Microchip Technology","EMC2301-1-ACZL-TR","MSOP-8"
"U750","AP64501SP-13","TopLayer","84.0000","25.5500","90","Diodes Incorporated","AP64501SP-13",""
"U751","AP64501SP-13","TopLayer","114.5000","25.5500","90","Diodes Incorporated","AP64501SP-13",""
"U800","INA219AIDCNR","TopLayer","103.2500","29.6000","0","Texas Instruments","INA219AIDCNR",""
"U801","INA219AIDCNR","TopLayer","31.8000","32.7500","0","Texas Instruments","INA219AIDCNR",""
"U802","INA219AIDCNR","TopLayer","67.8500","24.1500","180","Texas Instruments","INA219AIDCNR",""
"U803","INA219AIDCNR","TopLayer","43.2000","28.4500","0","Texas Instruments","INA219AIDCNR",""
"U804","INA219AIDCNR","TopLayer","44.8000","49.3000","270","Texas Instruments","INA219AIDCNR",""
"X250","24.000MHz","TopLayer","23.1750","44.3000","270","","",""
